CALENDAR_ID,CUSTOMER_ID,PROVIDER_ID,DEVICE_ID,ROUNDS,BET_EUR,WIN_EUR,GROSS_REVENUE_EUR,BONUS_COST_EUR,NET_REVENUE_EUR,IS_ACTIVE_CUSTOMER
20240319,26,4,1,84,"3,204.93","-9,963.67","-6,758.74",-464.63,"-7,223.37",1
20240220,27,4,2,289,"6,105.33",-982.16,"5,123.17",-785.47,"4,337.70",1
20240229,13,3,2,764,"3,561.42","-6,166.60","-2,605.18",-934.67,"-3,539.86",1
20240214,20,2,1,192,"8,999.86","-7,520.54","1,479.31",-954.12,525.19,1
20240216,24,3,2,447,"4,369.25","-1,103.41","3,265.84",-326.69,"2,939.15",1
20240109,11,4,1,101,"6,355.77","-2,185.92","4,169.85",-776.22,"3,393.63",1
20240204,28,2,2,39,0.00,"-3,776.28","-3,776.28",-659.38,"-4,435.67",0
20240308,3,2,1,266,"3,638.13","-3,705.20",-67.06,-517.17,-584.23,1
20240101,30,4,2,952,0.00,"-2,949.14","-2,949.14",-379.46,"-3,328.59",0
20240227,10,2,2,643,"2,513.40","-3,191.35",-677.94,-960.33,"-1,638.28",1
20240127,25,2,1,842,"3,905.01","-1,574.76","2,330.24",-87.93,"2,242.31",1
20240320,15,1,1,40,342.89,"-3,215.17","-2,872.28",-609.16,"-3,481.44",1
20240222,3,1,1,671,"2,191.64","-8,020.96","-5,829.32",-617.37,"-6,446.69",1
20240205,2,3,2,524,639.46,"-6,187.82","-5,548.36",-620.65,"-6,169.01",1
20240201,17,1,1,550,605.88,"-6,141.13","-5,535.26",-734.75,"-6,270.01",1
20240318,22,2,1,467,"3,689.41","-8,936.18","-5,246.77",-510.29,"-5,757.05",1
20240330,12,1,2,662,"2,626.51","-5,656.87","-3,030.37",-899.10,"-3,929.47",1
20240317,4,1,2,297,"9,387.35","-7,722.13","1,665.22",-515.22,"1,150.01",1
20240109,15,1,1,19,811.20,"-3,104.16","-2,292.96",-404.14,"-2,697.09",1
20240224,14,2,1,359,"4,204.10","-9,276.04","-5,071.94",-907.43,"-5,979.37",1
20240202,18,2,1,866,0.00,"-2,473.53","-2,473.53",-681.85,"-3,155.38",0
20240120,6,2,2,367,0.00,"-5,440.55","-5,440.55",-349.66,"-5,790.21",0
20240128,8,3,2,497,470.54,"-3,513.73","-3,043.19",-519.04,"-3,562.23",1
20240116,27,1,2,69,"1,993.78","-3,953.36","-1,959.58",-287.94,"-2,247.53",1
20240104,28,2,2,493,"1,172.24","-1,084.65",87.59,-622.54,-534.96,1
20240323,5,2,1,624,"4,853.14","-8,774.12","-3,920.97",-787.17,"-4,708.14",1
20240211,24,2,1,930,"4,357.97","-5,243.97",-886.00,-115.32,"-1,001.31",1
20240311,11,3,2,63,"3,482.38","-2,260.61","1,221.77",-230.55,991.23,1
20240301,5,4,1,384,"8,493.56",-729.06,"7,764.50",-944.18,"6,820.32",1
20240122,4,3,1,727,"1,311.81","-3,163.90","-1,852.09",-430.74,"-2,282.83",1
20240307,26,3,1,370,"8,493.38","-4,972.30","3,521.08",-429.70,"3,091.38",1
20240321,4,3,1,257,"9,028.96","-8,331.60",697.36,-743.12,-45.75,1
20240124,27,4,2,49,"2,736.51","-8,710.71","-5,974.19",-557.07,"-6,531.26",1
20240202,19,3,2,475,"6,702.80","-4,216.02","2,486.78",-937.59,"1,549.18",1
20240224,15,1,2,368,"1,803.97",-961.19,842.77,-414.26,428.51,1
20240106,14,4,2,886,"9,027.06","-1,101.91","7,925.15",-542.12,"7,383.04",1
20240108,17,1,2,624,"2,394.03",-738.74,"1,655.29",-432.94,"1,222.35",1
20240124,19,1,2,24,91.83,"-8,402.96","-8,311.13",-695.33,"-9,006.45",1
20240127,8,3,1,246,"4,001.98","-8,893.63","-4,891.65",-513.08,"-5,404.72",1
20240105,1,1,2,499,"3,588.03","-1,131.86","2,456.17",-820.66,"1,635.51",1
20240214,13,4,2,916,404.40,"-4,279.06","-3,874.66",-114.44,"-3,989.11",1
20240221,17,1,2,330,"8,902.26","-9,641.27",-739.01,-991.10,"-1,730.11",1
20240120,6,2,2,621,"2,319.36",-63.38,"2,255.98",-18.40,"2,237.58",1
20240129,9,4,1,928,"3,064.64",-841.72,"2,222.91",-919.62,"1,303.30",1
20240207,7,1,1,344,"5,875.81","-7,478.24","-1,602.43",-914.83,"-2,517.27",1
20240316,15,1,1,682,"3,387.33","-7,920.08","-4,532.74",-546.00,"-5,078.74",1
20240115,5,4,1,791,250.88,"-9,161.59","-8,910.70",-535.38,"-9,446.09",1
20240120,15,2,2,8,"1,908.10","-5,819.80","-3,911.69",-48.34,"-3,960.04",1
20240324,27,4,2,928,"5,956.60","-2,259.93","3,696.67",-219.97,"3,476.69",1
20240312,9,2,1,416,"5,837.39","-5,529.82",307.57,-680.85,-373.28,1
20240331,8,3,2,135,146.92,"-4,621.28","-4,474.36",-919.14,"-5,393.50",1
20240204,14,2,2,535,"5,137.56","-4,121.98","1,015.58",-100.07,915.51,1
20240216,13,4,2,554,473.46,"-8,933.01","-8,459.56",-857.04,"-9,316.59",1
20240206,17,1,2,484,0.00,"-2,786.87","-2,786.87",-613.79,"-3,400.65",0
20240115,11,1,1,366,"2,723.14","-4,758.08","-2,034.94",-816.95,"-2,851.89",1
20240203,5,2,2,926,"6,906.10","-5,971.37",934.73,-624.55,310.18,1
20240322,20,4,1,672,"5,771.38","-7,445.32","-1,673.95",-604.88,"-2,278.82",1
